Componente_1,Componente_2,n_vueltas_1,n_vueltas_2,RaceTime
Componente_C5,Componente_C2,4,50,4959.522421863095
Componente_C4,Componente_C2,17,37,5155.487921262143
Componente_C1,Componente_C5,29,25,5675.533373560192
Componente_C3,Componente_C2,5,49,4975.058259525935
Componente_C5,Componente_C2,20,34,5190.321684739502
Componente_C5,Componente_C2,10,44,5049.456978430332
Componente_C1,Componente_C2,16,38,5133.012957063765
Componente_C2,Componente_C3,33,21,5167.364210392853
Componente_C1,Componente_C3,4,50,5698.321702040793
Componente_C3,Componente_C2,47,7,5595.558712680548
Componente_C1,Componente_C2,3,51,4943.23421190904
Componente_C2,Componente_C4,27,27,5246.49712047143
Componente_C4,Componente_C1,30,24,5657.170620923253
Componente_C4,Componente_C5,7,47,5717.025255616514
Componente_C4,Componente_C2,3,51,4943.746578802029
Componente_C1,Componente_C5,18,36,5696.568702773387
Componente_C2,Componente_C1,15,39,5431.460535056351
Componente_C4,Componente_C3,7,47,5686.282400093122
Componente_C2,Componente_C3,36,18,5129.4874141821365
Componente_C5,Componente_C4,17,37,5691.810618043073
Componente_C5,Componente_C4,2,52,5699.058074743683
Componente_C4,Componente_C2,7,47,5001.558222126852
Componente_C4,Componente_C1,2,52,5693.526658166993
Componente_C5,Componente_C4,9,45,5686.871950733786
Componente_C1,Componente_C5,19,35,5698.4306282166535
Componente_C3,Componente_C4,30,24,5673.8845906043525
Componente_C4,Componente_C5,12,42,5705.373040865488
Componente_C2,Componente_C4,13,41,5440.035189303278
Componente_C1,Componente_C4,27,27,5648.723155692738
Componente_C3,Componente_C4,38,16,5667.809538874593
Componente_C1,Componente_C2,27,27,5265.580761692735
Componente_C5,Componente_C1,20,34,5686.674995377593
Componente_C4,Componente_C2,35,19,5395.7634100494315
Componente_C1,Componente_C4,26,28,5658.067337221307
Componente_C2,Componente_C1,27,27,5233.664818304761
Componente_C4,Componente_C1,7,47,5692.028762609826
Componente_C5,Componente_C2,11,43,5067.068669576942
Componente_C2,Componente_C4,38,16,5099.930514999997
Componente_C4,Componente_C1,9,45,5672.116122701105
Componente_C5,Componente_C4,11,43,5677.983907402826
Componente_C2,Componente_C1,15,39,5431.460535056351
Componente_C2,Componente_C3,50,4,4940.859012990477
Componente_C5,Componente_C1,11,43,5662.292395326476
Componente_C3,Componente_C4,33,21,5663.950550204346
Componente_C3,Componente_C4,15,39,5667.569607928956
Componente_C1,Componente_C4,28,26,5653.124941137978
Componente_C5,Componente_C4,18,36,5691.3578916061715
Componente_C5,Componente_C3,6,48,5690.72314653492
Componente_C2,Componente_C3,28,26,5213.649989709521
Componente_C5,Componente_C1,21,33,5688.5615409383045
Componente_C1,Componente_C5,21,33,5698.257589688077
Componente_C4,Componente_C1,37,17,5668.7121762994475
Componente_C3,Componente_C5,43,11,5669.493975037691
Componente_C3,Componente_C2,30,24,5318.80605410436
Componente_C4,Componente_C1,27,27,5633.881669123248
Componente_C4,Componente_C2,22,32,5214.521889284752
Componente_C1,Componente_C4,15,39,5667.586000433642
Componente_C4,Componente_C5,11,43,5711.864797821047
Componente_C4,Componente_C3,12,42,5627.139614035085
Componente_C3,Componente_C4,25,29,5676.663764685313
Componente_C5,Componente_C1,7,47,5694.478112140695
Componente_C1,Componente_C5,28,26,5678.151843807802
Componente_C5,Componente_C4,2,52,5699.058074743683
Componente_C1,Componente_C3,31,23,5655.221308126057
Componente_C3,Componente_C4,46,8,5684.617338871015
Componente_C5,Componente_C3,5,49,5697.154338848813
Componente_C5,Componente_C4,9,45,5686.871950733786
Componente_C1,Componente_C5,10,44,5711.982003264633
Componente_C1,Componente_C4,29,25,5662.059200021308
Componente_C5,Componente_C2,12,42,5080.604397126003
Componente_C1,Componente_C5,9,45,5713.7855437870285
Componente_C1,Componente_C5,9,45,5713.7855437870285
Componente_C5,Componente_C1,16,38,5674.510344582348
Componente_C1,Componente_C4,29,25,5662.059200021308
Componente_C4,Componente_C5,36,18,5653.808397938319
Componente_C3,Componente_C5,9,45,5715.098900243512
Componente_C5,Componente_C2,19,35,5178.959338335929
Componente_C1,Componente_C4,16,38,5681.097491989561
Componente_C4,Componente_C1,19,35,5686.509679341098
Componente_C3,Componente_C2,7,47,5002.39066548706
Componente_C3,Componente_C4,14,40,5652.405584871809
Componente_C4,Componente_C3,10,44,5651.463745834691
Componente_C4,Componente_C1,25,29,5652.057631089917
Componente_C3,Componente_C4,36,18,5659.331202921013
Componente_C5,Componente_C2,5,49,4975.187997771834
Componente_C2,Componente_C3,4,50,5640.848443474215
Componente_C1,Componente_C4,23,31,5697.618247033213
Componente_C1,Componente_C2,26,28,5253.305484637973
Componente_C2,Componente_C3,31,23,5193.610860307144
Componente_C4,Componente_C2,24,30,5228.341357861342
Componente_C1,Componente_C2,2,52,4927.28286429762
Componente_C1,Componente_C4,10,44,5677.862005546014
Componente_C1,Componente_C4,15,39,5667.586000433642
Componente_C4,Componente_C1,8,46,5684.278495361608
Componente_C4,Componente_C2,8,46,5015.785872318309
Componente_C1,Componente_C3,10,44,5651.843280060911
Componente_C4,Componente_C1,18,36,5686.156438378412
Componente_C5,Componente_C4,16,38,5682.867223008544
Componente_C4,Componente_C5,12,42,5705.373040865488
Componente_C3,Componente_C1,41,13,5676.024229371013
Componente_C3,Componente_C4,15,39,5667.569607928956
Componente_C1,Componente_C2,10,44,5046.602388236349
Componente_C3,Componente_C2,37,17,5433.833397754342
Componente_C2,Componente_C5,44,10,5011.033007944445
Componente_C1,Componente_C4,14,40,5652.2949566745465
Componente_C2,Componente_C4,40,14,5074.388383870238
Componente_C2,Componente_C5,48,6,4962.716513114285
Componente_C3,Componente_C4,40,14,5673.028020704355
Componente_C4,Componente_C5,12,42,5705.373040865488
Componente_C2,Componente_C4,48,6,4964.912977114294
Componente_C3,Componente_C5,13,41,5683.386227207632
Componente_C2,Componente_C1,50,4,4939.454795990479
Componente_C4,Componente_C2,16,38,5134.621870103799
Componente_C4,Componente_C3,13,41,5595.925867063467
Componente_C4,Componente_C3,8,46,5676.522485996087
Componente_C3,Componente_C2,36,18,5415.039036421018
Componente_C4,Componente_C3,9,45,5661.6597070982925
Componente_C5,Componente_C4,9,45,5686.871950733786
Componente_C3,Componente_C5,32,22,5667.5762371432365
Componente_C4,Componente_C3,18,36,5680.575772766511
Componente_C2,Componente_C4,38,16,5099.930514999997
Componente_C1,Componente_C4,30,24,5670.689193426066
Componente_C4,Componente_C3,13,41,5595.925867063467
Componente_C5,Componente_C4,15,39,5669.534549462116
Componente_C4,Componente_C5,5,49,5723.821749581001
Componente_C2,Componente_C1,31,23,5203.611448307143
Componente_C5,Componente_C3,15,39,5647.040366189494
Componente_C1,Componente_C5,7,47,5717.039797288402
Componente_C1,Componente_C5,30,24,5672.721744631615
Componente_C4,Componente_C2,6,48,4987.505366728831
Componente_C3,Componente_C4,10,44,5679.150609059988
Componente_C2,Componente_C4,23,31,5351.162625450003
Componente_C2,Componente_C3,48,6,4968.317219114285
Componente_C1,Componente_C3,31,23,5655.221308126057
Componente_C3,Componente_C4,4,50,5705.64316932251
Componente_C5,Componente_C1,21,33,5688.5615409383045
Componente_C2,Componente_C1,47,7,4979.7423666619
Componente_C2,Componente_C1,25,29,5279.984197630958
Componente_C4,Componente_C3,36,18,5667.057529632773
Componente_C4,Componente_C2,14,40,5102.66268758725
Componente_C5,Componente_C3,14,40,5622.402280029584
Componente_C1,Componente_C2,21,33,5203.509176026066
Componente_C1,Componente_C5,13,41,5683.059515634179
Componente_C5,Componente_C3,16,38,5666.512305089899
Componente_C1,Componente_C4,13,41,5635.7248119417245
Componente_C4,Componente_C1,3,51,5699.846096408022
Componente_C1,Componente_C5,9,45,5713.7855437870285
Componente_C2,Componente_C4,16,38,5442.455687692855
Componente_C3,Componente_C5,40,14,5661.48564370435
Componente_C4,Componente_C5,13,41,5683.778489140709
Componente_C1,Componente_C4,5,49,5704.964437551642
Componente_C2,Componente_C4,20,34,5400.11655989762
Componente_C2,Componente_C4,20,34,5400.11655989762
Componente_C1,Componente_C3,6,48,5689.752330788003
Componente_C1,Componente_C3,15,39,5645.091817161017
Componente_C3,Componente_C5,45,9,5676.267509593232
Componente_C2,Componente_C3,35,19,5139.761634404764
Componente_C5,Componente_C2,15,39,5119.689719573221
Componente_C2,Componente_C4,48,6,4964.912977114294
Componente_C1,Componente_C3,14,40,5620.224375991206
Componente_C3,Componente_C4,23,31,5700.266163817447
Componente_C2,Componente_C1,24,30,5300.51609623572
Componente_C4,Componente_C2,11,43,5064.328550859047
