Registro,LapTime,LapNumber,Stint,Compound,TyreLife,Team,Driver,CurrentWeight,Componente,KM_Lap,Traction,Braking,Lateral,TyreStress,AsphaltGrip,AsphaltAbrasion,Downforce,Event,AVG
72,103.168,18,1,MEDIUM,21,Red Bull Racing,VER,829.3333333,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.2259
73,103.166,19,1,MEDIUM,22,Red Bull Racing,VER,827.5185185,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,106.8894
74,103.01,20,1,MEDIUM,23,Red Bull Racing,VER,825.7037037,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.80105
75,103.024,21,1,MEDIUM,24,Red Bull Racing,VER,823.8888889,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.62145
76,103.19,22,1,MEDIUM,25,Red Bull Racing,VER,822.0740741,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.1132
77,103.063,23,1,MEDIUM,26,Red Bull Racing,VER,820.2592593,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.96145
78,103.259,24,1,MEDIUM,27,Red Bull Racing,VER,818.4444444,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.55695
79,105.216,25,1,MEDIUM,28,Red Bull Racing,VER,816.6296296,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.2558
80,122.305,26,2,HARD,1,Red Bull Racing,VER,814.8148148,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.44505
81,102.898,27,2,HARD,2,Red Bull Racing,VER,813,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.98385
82,101.651,28,2,HARD,3,Red Bull Racing,VER,811.1851852,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.79675
83,101.701,29,2,HARD,4,Red Bull Racing,VER,809.3703704,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.92835
84,101.897,30,2,HARD,5,Red Bull Racing,VER,807.5555556,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.6703
85,102.521,31,2,HARD,6,Red Bull Racing,VER,805.7407407,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.77715
86,102.598,32,2,HARD,7,Red Bull Racing,VER,803.9259259,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.97535
87,101.983,33,2,HARD,8,Red Bull Racing,VER,802.1111111,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.8818
88,101.694,34,2,HARD,9,Red Bull Racing,VER,800.2962963,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.8103
89,102.286,35,2,HARD,10,Red Bull Racing,VER,798.4814815,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.76795
90,102.561,36,2,HARD,11,Red Bull Racing,VER,796.6666667,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.9835
91,101.776,37,2,HARD,12,Red Bull Racing,VER,794.8518518,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.0281
92,101.555,38,2,HARD,13,Red Bull Racing,VER,793.037037,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.95045
93,101.541,39,2,HARD,14,Red Bull Racing,VER,791.2222222,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.6059
94,101.778,40,2,HARD,15,Red Bull Racing,VER,789.4074074,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.6935
95,101.824,41,2,HARD,16,Red Bull Racing,VER,787.5925926,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.87365
96,101.915,42,2,HARD,17,Red Bull Racing,VER,785.7777778,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.4535
97,101.755,43,2,HARD,18,Red Bull Racing,VER,783.962963,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.2641
98,102.046,44,2,HARD,19,Red Bull Racing,VER,782.1481481,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.7773
99,101.955,45,2,HARD,20,Red Bull Racing,VER,780.3333333,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.44485
100,101.674,46,2,HARD,21,Red Bull Racing,VER,778.5185185,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.3784737
101,101.592,47,2,HARD,22,Red Bull Racing,VER,776.7037037,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.0484211
102,101.273,48,2,HARD,23,Red Bull Racing,VER,774.8888889,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.0486842
103,101.775,49,2,HARD,24,Red Bull Racing,VER,773.0740741,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,102.9504737
104,101.333,50,2,HARD,25,Red Bull Racing,VER,771.2592593,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,102.8666316
105,101.774,51,2,HARD,26,Red Bull Racing,VER,769.4444444,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.0323684
106,101.743,52,2,HARD,27,Red Bull Racing,VER,767.6296296,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.3493684
107,101.849,53,2,HARD,28,Red Bull Racing,VER,765.8148148,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.2232105
