LapNumber,Stint,TyreLife,CurrentWeight,Traction,Braking,Lateral,TyreStress,AsphaltGrip,AsphaltAbrasion,Downforce,Componente_C1,Componente_C2,Componente_C3,Componente_C4,Componente_C5,Ensayo,Laptime
44,2,20,782.1481481,3,3,3,3,2,2,3,0,0,0,1,0,1,105.25520099999935
45,2,21,780.3333333,3,3,3,3,2,2,3,0,0,0,1,0,1,104.8109059999993
46,2,22,778.5185185,3,3,3,3,2,2,3,0,0,0,1,0,1,104.61590833333354
47,2,23,776.7037037,3,3,3,3,2,2,3,0,0,0,1,0,1,105.89366600000027
48,2,24,774.8888889,3,3,3,3,2,2,3,0,0,0,1,0,1,104.83666000000154
49,2,25,773.0740741,3,3,3,3,2,2,3,0,0,0,1,0,1,104.2805490000008
50,2,26,771.2592593,3,3,3,3,2,2,3,0,0,0,1,0,1,103.67870399999964
51,2,27,769.4444444,3,3,3,3,2,2,3,0,0,0,1,0,1,103.97683399999949
52,2,28,767.6296296,3,3,3,3,2,2,3,0,0,0,1,0,1,105.12259900000114
53,2,29,765.8148148,3,3,3,3,2,2,3,0,0,0,1,0,1,104.78124100000123
54,2,30,764.0,3,3,3,3,2,2,3,0,0,0,1,0,1,104.59041100000059
55,2,31,762.1851852,3,3,3,3,2,2,3,0,0,0,1,0,1,101.75634199999861
2,1,1,858.3703704,3,3,3,3,2,2,3,1,0,0,0,0,1,126.11830736666741
3,1,2,856.5555556,3,3,3,3,2,2,3,1,0,0,0,0,1,105.77894441507907
4,1,3,854.7407407,3,3,3,3,2,2,3,1,0,0,0,0,1,105.60496211578436
5,1,4,852.9259259,3,3,3,3,2,2,3,1,0,0,0,0,1,106.79424338571407
6,1,5,851.1111111,3,3,3,3,2,2,3,1,0,0,0,0,1,106.2213474456347
7,1,6,849.2962963,3,3,3,3,2,2,3,1,0,0,0,0,1,106.19763917936476
8,1,7,847.4814815,3,3,3,3,2,2,3,1,0,0,0,0,1,105.7365848031748
9,1,8,845.6666667,3,3,3,3,2,2,3,1,0,0,0,0,1,105.97595850559145
10,1,9,843.8518519,3,3,3,3,2,2,3,1,0,0,0,0,1,105.41371854927813
11,1,10,842.037037,3,3,3,3,2,2,3,1,0,0,0,0,1,104.93483417402626
12,1,11,840.2222222,3,3,3,3,2,2,3,1,0,0,0,0,1,105.57331679534646
13,1,12,838.4074074,3,3,3,3,2,2,3,1,0,0,0,0,1,105.81354511071447
14,1,13,836.5925926,3,3,3,3,2,2,3,1,0,0,0,0,1,104.29871897539672
15,1,14,834.7777778,3,3,3,3,2,2,3,1,0,0,0,0,1,104.76163942023841
16,1,15,832.962963,3,3,3,3,2,2,3,1,0,0,0,0,1,104.93967842258296
17,1,16,831.1481481,3,3,3,3,2,2,3,1,0,0,0,0,1,104.93662873210714
18,1,17,829.3333333,3,3,3,3,2,2,3,1,0,0,0,0,1,105.27083080476218
19,1,18,827.5185185,3,3,3,3,2,2,3,1,0,0,0,0,1,105.73911053849268
20,1,19,825.7037037,3,3,3,3,2,2,3,1,0,0,0,0,1,105.44103375515837
21,1,20,823.8888889,3,3,3,3,2,2,3,1,0,0,0,0,1,105.49570028730183
22,1,21,822.0740741,3,3,3,3,2,2,3,1,0,0,0,0,1,106.47694001984168
23,2,1,820.2592593,3,3,3,3,2,2,3,0,1,0,0,0,1,109.90414450000024
24,2,2,818.4444444,3,3,3,3,2,2,3,0,1,0,0,0,1,93.39419654999983
25,2,3,816.6296296,3,3,3,3,2,2,3,0,1,0,0,0,1,91.42864451666678
26,2,4,814.8148148,3,3,3,3,2,2,3,0,1,0,0,0,1,90.77320504523861
27,2,5,813.0,3,3,3,3,2,2,3,0,1,0,0,0,1,89.60346360000055
28,2,6,811.1851852,3,3,3,3,2,2,3,0,1,0,0,0,1,88.6551495357142
29,2,7,809.3703704,3,3,3,3,2,2,3,0,1,0,0,0,1,88.66813269285736
30,2,8,807.5555556,3,3,3,3,2,2,3,0,1,0,0,0,1,88.69235594285709
31,2,9,805.7407407,3,3,3,3,2,2,3,0,1,0,0,0,1,88.77304829999947
32,2,10,803.9259259,3,3,3,3,2,2,3,0,1,0,0,0,1,88.94881629999944
33,2,11,802.1111111,3,3,3,3,2,2,3,0,1,0,0,0,1,89.43526816666628
34,2,12,800.2962963,3,3,3,3,2,2,3,0,1,0,0,0,1,91.29776130000012
35,2,13,798.4814815,3,3,3,3,2,2,3,0,1,0,0,0,1,90.09645643333326
36,2,14,796.6666667,3,3,3,3,2,2,3,0,1,0,0,0,1,88.9205609833333
37,2,15,794.8518518,3,3,3,3,2,2,3,0,1,0,0,0,1,89.05539399999977
38,2,16,793.037037,3,3,3,3,2,2,3,0,1,0,0,0,1,88.16860200000026
39,2,17,791.2222222,3,3,3,3,2,2,3,0,1,0,0,0,1,87.982493
40,2,18,789.4074074,3,3,3,3,2,2,3,0,1,0,0,0,1,88.09852900000013
41,2,19,787.5925926,3,3,3,3,2,2,3,0,1,0,0,0,1,88.19236100000076
42,2,20,785.7777778,3,3,3,3,2,2,3,0,1,0,0,0,1,88.37140600000058
43,2,21,783.962963,3,3,3,3,2,2,3,0,1,0,0,0,1,88.6084490000006
44,2,22,782.1481481,3,3,3,3,2,2,3,0,1,0,0,0,1,88.74463981666672
45,2,23,780.3333333,3,3,3,3,2,2,3,0,1,0,0,0,1,88.81500252380968
46,2,24,778.5185185,3,3,3,3,2,2,3,0,1,0,0,0,1,88.78764526666608
47,2,25,776.7037037,3,3,3,3,2,2,3,0,1,0,0,0,1,89.12793166666616
48,2,26,774.8888889,3,3,3,3,2,2,3,0,1,0,0,0,1,89.80684191666629
49,2,27,773.0740741,3,3,3,3,2,2,3,0,1,0,0,0,1,89.62810411666617
50,2,28,771.2592593,3,3,3,3,2,2,3,0,1,0,0,0,1,89.06687199999924
51,2,29,769.4444444,3,3,3,3,2,2,3,0,1,0,0,0,1,89.14805323333279
52,2,30,767.6296296,3,3,3,3,2,2,3,0,1,0,0,0,1,89.13992689999958
53,2,31,765.8148148,3,3,3,3,2,2,3,0,1,0,0,0,1,88.95131826666574
54,2,32,764.0,3,3,3,3,2,2,3,0,1,0,0,0,1,88.97568589999963
55,2,33,762.1851852,3,3,3,3,2,2,3,0,1,0,0,0,1,88.72503375000025
2,1,1,858.3703704,3,3,3,3,2,2,3,0,0,0,0,1,1,125.79030118333401
3,1,2,856.5555556,3,3,3,3,2,2,3,0,0,0,0,1,1,105.89018370476131
4,1,3,854.7407407,3,3,3,3,2,2,3,0,0,0,0,1,1,106.22652693809425
5,1,4,852.9259259,3,3,3,3,2,2,3,0,0,0,0,1,1,106.25004963809484
6,1,5,851.1111111,3,3,3,3,2,2,3,0,0,0,0,1,1,106.79766882261863
7,1,6,849.2962963,3,3,3,3,2,2,3,0,0,0,0,1,1,106.73152936825329
8,1,7,847.4814815,3,3,3,3,2,2,3,0,0,0,0,1,1,107.20057691525845
9,1,8,845.6666667,3,3,3,3,2,2,3,0,0,0,0,1,1,106.0527180874813
10,1,9,843.8518519,3,3,3,3,2,2,3,0,0,0,0,1,1,105.3989029182509
11,1,10,842.037037,3,3,3,3,2,2,3,0,0,0,0,1,1,105.29267255815301
12,1,11,840.2222222,3,3,3,3,2,2,3,0,0,0,0,1,1,105.33232512914888
13,1,12,838.4074074,3,3,3,3,2,2,3,0,0,0,0,1,1,104.83759916255447
14,1,13,836.5925926,3,3,3,3,2,2,3,0,0,0,0,1,1,104.85978561349242
15,1,14,834.7777778,3,3,3,3,2,2,3,0,0,0,0,1,1,104.74082424087352
16,1,15,832.962963,3,3,3,3,2,2,3,0,0,0,0,1,1,104.71032341269931
17,1,16,831.1481481,3,3,3,3,2,2,3,0,0,0,0,1,1,104.75781072262009
18,1,17,829.3333333,3,3,3,3,2,2,3,0,0,0,0,1,1,104.87968383928661
19,1,18,827.5185185,3,3,3,3,2,2,3,0,0,0,0,1,1,104.94151262500074
20,1,19,825.7037037,3,3,3,3,2,2,3,0,0,0,0,1,1,104.91020262500095
21,1,20,823.8888889,3,3,3,3,2,2,3,0,0,0,0,1,1,105.18673062500145
22,1,21,822.0740741,3,3,3,3,2,2,3,0,0,0,0,1,1,105.8605266250015
23,2,1,820.2592593,3,3,3,3,2,2,3,0,0,0,1,0,1,119.10652900000007
24,2,2,818.4444444,3,3,3,3,2,2,3,0,0,0,1,0,1,103.64754403333495
25,2,3,816.6296296,3,3,3,3,2,2,3,0,0,0,1,0,1,104.04067358333513
26,2,4,814.8148148,3,3,3,3,2,2,3,0,0,0,1,0,1,104.52420407619081
27,2,5,813.0,3,3,3,3,2,2,3,0,0,0,1,0,1,104.15970724999993
28,2,6,811.1851852,3,3,3,3,2,2,3,0,0,0,1,0,1,104.28163900000054
29,2,7,809.3703704,3,3,3,3,2,2,3,0,0,0,1,0,1,104.2776832499995
30,2,8,807.5555556,3,3,3,3,2,2,3,0,0,0,1,0,1,104.3837912499993
31,2,9,805.7407407,3,3,3,3,2,2,3,0,0,0,1,0,1,104.7283834999996
32,2,10,803.9259259,3,3,3,3,2,2,3,0,0,0,1,0,1,105.39462000000002
33,2,11,802.1111111,3,3,3,3,2,2,3,0,0,0,1,0,1,106.4378439999998
34,2,12,800.2962963,3,3,3,3,2,2,3,0,0,0,1,0,1,105.76305100000079
35,2,13,798.4814815,3,3,3,3,2,2,3,0,0,0,1,0,1,105.36219100000034
36,2,14,796.6666667,3,3,3,3,2,2,3,0,0,0,1,0,1,105.11260960476126
37,2,15,794.8518518,3,3,3,3,2,2,3,0,0,0,1,0,1,104.77344840000006
38,2,16,793.037037,3,3,3,3,2,2,3,0,0,0,1,0,1,104.69134496666699
39,2,17,791.2222222,3,3,3,3,2,2,3,0,0,0,1,0,1,105.01772900000029
40,2,18,789.4074074,3,3,3,3,2,2,3,0,0,0,1,0,1,104.6104001666669
41,2,19,787.5925926,3,3,3,3,2,2,3,0,0,0,1,0,1,104.65450499999909
42,2,20,785.7777778,3,3,3,3,2,2,3,0,0,0,1,0,1,104.4960949999995
43,2,21,783.962963,3,3,3,3,2,2,3,0,0,0,1,0,1,104.94617600000036
44,2,22,782.1481481,3,3,3,3,2,2,3,0,0,0,1,0,1,105.28317933333231
45,2,23,780.3333333,3,3,3,3,2,2,3,0,0,0,1,0,1,104.9000519999993
46,2,24,778.5185185,3,3,3,3,2,2,3,0,0,0,1,0,1,105.0033210000006
47,2,25,776.7037037,3,3,3,3,2,2,3,0,0,0,1,0,1,105.24542900000012
48,2,26,774.8888889,3,3,3,3,2,2,3,0,0,0,1,0,1,104.61104400000094
49,2,27,773.0740741,3,3,3,3,2,2,3,0,0,0,1,0,1,104.30135500000026
50,2,28,771.2592593,3,3,3,3,2,2,3,0,0,0,1,0,1,103.98058699999942
51,2,29,769.4444444,3,3,3,3,2,2,3,0,0,0,1,0,1,104.02805799999912
52,2,30,767.6296296,3,3,3,3,2,2,3,0,0,0,1,0,1,104.82202100000113
53,2,31,765.8148148,3,3,3,3,2,2,3,0,0,0,1,0,1,104.65264700000088
54,2,32,764.0,3,3,3,3,2,2,3,0,0,0,1,0,1,104.34937100000019
55,2,33,762.1851852,3,3,3,3,2,2,3,0,0,0,1,0,1,101.78421599999852
2,1,1,858.3703704,3,3,3,3,2,2,3,0,1,0,0,0,1,113.46671421666649
3,1,2,856.5555556,3,3,3,3,2,2,3,0,1,0,0,0,1,91.95806099999982
4,1,3,854.7407407,3,3,3,3,2,2,3,0,1,0,0,0,1,90.8579859999995
5,1,4,852.9259259,3,3,3,3,2,2,3,0,1,0,0,0,1,90.5404374999993
6,1,5,851.1111111,3,3,3,3,2,2,3,0,1,0,0,0,1,90.4463638333334
7,2,1,849.2962963,3,3,3,3,2,2,3,0,0,1,0,0,1,129.669035600001
8,2,2,847.4814815,3,3,3,3,2,2,3,0,0,1,0,0,1,104.69229392857216
9,2,3,845.6666667,3,3,3,3,2,2,3,0,0,1,0,0,1,104.91076493809527
10,2,4,843.8518519,3,3,3,3,2,2,3,0,0,1,0,0,1,104.82976105000036
11,2,5,842.037037,3,3,3,3,2,2,3,0,0,1,0,0,1,104.9778001333336
12,2,6,840.2222222,3,3,3,3,2,2,3,0,0,1,0,0,1,104.9262811666669
13,2,7,838.4074074,3,3,3,3,2,2,3,0,0,1,0,0,1,105.04574818571405
14,2,8,836.5925926,3,3,3,3,2,2,3,0,0,1,0,0,1,105.29227662142824
15,2,9,834.7777778,3,3,3,3,2,2,3,0,0,1,0,0,1,105.2827646337307
16,2,10,832.962963,3,3,3,3,2,2,3,0,0,1,0,0,1,105.68338216666704
17,2,11,831.1481481,3,3,3,3,2,2,3,0,0,1,0,0,1,105.87333147380944
18,2,12,829.3333333,3,3,3,3,2,2,3,0,0,1,0,0,1,105.26092657142829
19,2,13,827.5185185,3,3,3,3,2,2,3,0,0,1,0,0,1,106.06171064761759
20,2,14,825.7037037,3,3,3,3,2,2,3,0,0,1,0,0,1,106.1262126119047
21,2,15,823.8888889,3,3,3,3,2,2,3,0,0,1,0,0,1,106.20967733333374
22,2,16,822.0740741,3,3,3,3,2,2,3,0,0,1,0,0,1,107.51412013333334
23,2,17,820.2592593,3,3,3,3,2,2,3,0,0,1,0,0,1,107.88185077142971
24,2,18,818.4444444,3,3,3,3,2,2,3,0,0,1,0,0,1,105.89319894762
25,2,19,816.6296296,3,3,3,3,2,2,3,0,0,1,0,0,1,105.05382025476133
26,2,20,814.8148148,3,3,3,3,2,2,3,0,0,1,0,0,1,105.34984148055605
27,2,21,813.0,3,3,3,3,2,2,3,0,0,1,0,0,1,104.2338869976201
28,2,22,811.1851852,3,3,3,3,2,2,3,0,0,1,0,0,1,104.06164036666748
29,2,23,809.3703704,3,3,3,3,2,2,3,0,0,1,0,0,1,104.0630242333341
